MemberName,CharacterName,Class,Level,Race,Main/Alt,Rank,AvailableDKP,EarnedDKP,SpentDKP,ApplicationDate,MembershipDate
Deputytom,Candelabra,Wizard,58,High Elf,alternate,member,174,921,778,2024-11-23 00:34:48,2025-01-02 18:53:23
Deputytom,Tuppin,Paladin,51,Halfling,alternate,member,174,921,778,2024-11-23 00:34:48,2025-01-02 18:53:23
Domain,Domain,Monk,60,Iksar,main,member,57,59,2,2026-02-18 00:47:55,
Donn,Donn,Enchanter,53,Human,main,inactive,10,10,0,2024-10-25 23:10:52,
Dorment,Dorment,Cleric,58,Dark Elf,main,applicant,0,0,0,2026-01-16 15:36:00,
Drayce,Drayce,Warrior,60,Iksar,main,member,361,454,128,2024-10-26 00:59:31,
Drayce,Draycen,Ranger,60,Half-Elf,main,member,361,454,128,2024-10-26 00:59:31,
Dreamery,Dreamery,Shaman,58,Dark Elf,main,inactive,50,55,5,2024-10-25 23:59:34,
Dreck,Dreck,Monk,60,Human,main,member,116,151,35,2025-11-03 03:33:36,2025-11-25 00:35:07
Edzky,Edzky,Enchanter,60,Dark Elf,main,inactive,105,261,156,2024-10-25 23:05:48,
Eladaimri,Eladaimri,Ranger,60,Wood Elf,main,member,30,67,37,2026-01-25 18:11:05,2026-03-14 02:50:46
Erek,Malzer,Druid,60,Wood Elf,main,member,18,583,631,2025-11-12 20:20:28,2025-12-06 02:34:54
Erek,Erek,Beastlord,60,Vah Shir,main,member,18,583,631,2025-11-12 20:20:28,2025-12-06 02:34:54
Erek,Andii,Paladin,48,High Elf,alternate,member,18,583,631,2025-11-12 20:20:28,2025-12-06 02:34:54
Erek,Erewynn,Ranger,28,Wood Elf,alternate,member,18,583,631,2025-11-12 20:20:28,2025-12-06 02:34:54
Exxy,Exxy,Necromancer,60,Dark Elf,main,member,34,34,0,2026-01-29 23:00:09,2026-03-11 23:53:01
Eziekial,Bailler,Cleric,60,Human,alternate,member,62,1143,1207,2025-05-08 23:22:50,2025-05-19 04:38:06
Eziekial,Eziekial,Shadow Knight,60,Ogre,main,member,62,1143,1207,2025-05-08 23:22:50,2025-05-19 04:38:06
Eziekial,Etcha,Magician,45,Human,alternate,member,62,1143,1207,2025-05-08 23:22:50,2025-05-19 04:38:06
Eziekial,Adrab,Bard,60,Wood Elf,main,member,62,1143,1207,2025-05-08 23:22:50,2025-05-19 04:38:06
